is_landslide,dem,slope,twi,landcover,soil_sand,soil_clay,soil_cfvo,rain_annual_norm,rain_monsoon_norm,snow_winter,snow_spring,rain_event_7d,rain_antecedent_30d,rain_max_daily,runoff_event_7d,runoff_antecedent_30d,runoff_max_daily
1,3227.0,3.4486327,12.17092,30.0,47.0,22.0,21.0,121.77843,59.84229,0.81014615,0.96101516,41.5549,11.26165181,41.5549,0.001334165473,0.0003640929863,0.013562837
1,755.0,21.372917,13.814004,50.0,36.0,27.0,16.0,1002.1583,487.8425,0.79652613,0.98266983,368.09739,142.1384736,230.62512,0.08465237319999999,0.019438621380000003,0.041324068
1,618.0,7.0529327,11.240353,10.0,34.0,23.0,12.0,1138.8578,841.4997,0.9573016,0.9873455,515.86547,327.9383844,426.38885,0.09191569793999999,0.015365409899999998,0.025775347
1,1361.0,31.259968,10.28519,10.0,35.0,21.0,16.0,1020.6707,390.8344,0.69716114,0.9481771,305.02611,100.9881625,184.60103,0.09267421863,0.022890222209999988,0.034740094
1,1380.0,15.424089,10.984794,10.0,34.0,23.0,17.0,1157.321,547.16364,0.6513997,0.9471842,242.86505,166.0715286,242.86505,0.17148731144,0.043858755900000004,0.059339996
1,3419.0,35.6387,9.767688,60.0,39.0,19.0,25.0,576.5673,260.21335,0.043697815,0.03794199,351.921201,59.281974500000004,190.65804,0.05754343049999999,0.0955724778,0.032628573
1,784.0,12.23514,10.813383,40.0,41.0,25.0,14.0,1579.3901,1074.4061,0.9723966,0.99892735,620.25261,413.831089,329.19977,0.061339300199999995,0.10098005380000001,0.017053418
1,4214.0,26.487274,10.342501,60.0,43.0,19.0,26.0,213.71175,98.60074,0.4506422,0.48794112,38.240646,14.5079381,38.240646,0.00111789938,0.0008175956816999999,0.009137168
1,1095.0,35.971012,10.914667,80.0,35.0,23.0,19.0,641.8249,394.0942,0.8701937,0.9896058,372.16931,143.82295200000002,197.94284,0.0573295333,0.024838775810000005,0.051184926
1,946.0,19.420843,10.625415,40.0,37.0,29.0,16.0,1156.8093,793.4502,0.9313868,0.9908983,438.03668700000003,286.4709284,255.40009,0.1588425008,0.03653785355999999,0.06413136
